Job Title,Company,Location,Salary,Write Time,Release Time
DevOps Engineer,TAFE NSW,Sydney NSW,"$188,167.19 per year",2023/11/15 15:41,19d ago
Cloud Engineer Azure,Digital Recruiter Pty Ltd,Sydney NSW,N/A,2023/11/15 15:41,5d ago
Cloud Identity Engineer,Aurec,Canberra ACT,N/A,2023/11/15 15:41,1d ago
Cloud Identity Engineer,Compas Pty Ltd,Canberra ACT,N/A,2023/11/15 15:41,1d ago
Cloud Engineer,Coles,Melbourne VIC,N/A,2023/11/15 15:41,12d ago
Principal  AWS Solutions Designer- Major Bank,Bluefin Resources Pty Limited,Sydney NSW,$200k - $210k p.a. + super + bonus,2023/11/15 15:41,2d ago
Cloud Engineer - Azure Specialist,Atlas Digital Innovations,Canberra ACT,Permanent and contracting posistions available,2023/11/15 15:41,8d ago
Cloud Service Specialist,Suncorp,Brisbane QLD,N/A,2023/11/15 15:41,9h ago
Lead DevOps/Cloud Engineer,Calleo,Canberra ACT,Negotiable package with additional benefits,2023/11/15 15:41,23d ago
Network Automation Engineer,Wolfe,Perth WA,N/A,2023/11/15 15:41,Unknown
Azure Data Engineer,Talent Street,Parramatta,AUD 0 - 1000 per day,2023/11/15 15:41,Unknown
Cloud Engineer,Coles,Melbourne VIC,N/A,2023/11/15 15:41,12d ago
"Senior DevOps Engineer (GCP, Kubernetes)",Nuage Technology Group,Sydney NSW,$115 – $137.50 per hour,2023/11/15 15:41,22d ago
Cloud Engineer,Australian Digital Health Agency,Sydney NSW,Negotiable for the right candidate,2023/11/15 15:41,9d ago
Azure DevOps Engineer,Ethos BeathChapman,Brisbane QLD,$140k - $150 Package,2023/11/15 15:41,20d ago
Senior DevOps Engineer - Azure,Robert Walters,Melbourne VIC,$160k - $205k p.a. incl super,2023/11/15 15:41,14d ago
Mid & Senior DevOps Engineers (AWS) | Cyber Security | Up to $180k+Super+ESOP,Novus,Sydney NSW,"Up to 1800,000+ Super + ESOP",2023/11/15 15:41,14d ago
Infrastructure Engineer,Hughes and Jones Consulting Pty Ltd,Brisbane QLD,"$70,000 – $90,000 per year",2023/11/15 15:41,3h ago
Azure Cloud Engineer,Australian Retirement Trust,Brisbane QLD,Brisbane,2023/11/15 15:41,7d ago
Senior Devops/ Cloud Engineer,PERSOLKELLY,East Perth,N/A,2023/11/15 15:41,19d ago
Cloud Engineer,Australian Digital Health Agency,Canberra ACT,Negotiable for the right candidate,2023/11/15 15:41,9d ago
Cloud Engineer,Deloitte,Sydney NSW,N/A,2023/11/15 15:41,5d ago
Cloud Engineer,Australian Digital Health Agency,Brisbane QLD,Negotiable for the right candidate,2023/11/15 15:41,9d ago
Mainframe DevOps/DevSecOps Specialist - Contract,The Business Agility Group (Australia) Pty Ltd,Melbourne VIC,$90 – $110 per hour,2023/11/15 15:41,22d ago
Junior Presales & Devops Engineer,Fernway Partners,Sydney NSW,N/A,2023/11/15 15:41,28d ago
DevOps Engineer,BLACKROC,Brisbane QLD,N/A,2023/11/15 15:41,21d ago
Senior DevOps Engineer,Valrose,Perth WA,N/A,2023/11/15 15:41,13d ago
Senior DevSecOps Engineer,The Recruitment Company,Sydney NSW,"$220,000 package approx.",2023/11/15 15:41,14d ago
DevOps Engineer,Preacta Recruitment,Perth WA,N/A,2023/11/15 15:41,23d ago
Senior Cloud Engineer,South East Water,Bayside & South Eastern Suburbs,N/A,2023/11/15 15:41,2d ago
Site Reliability Engineer,N/A,Adelaide SA,"$125,000 – $140,000 per year",2023/11/15 15:41,13d ago
Architect - Infrastructure,Insignia Financial Ltd,Sydney NSW,N/A,2023/11/15 15:41,Unknown
Systems Engineer,Harvey Nash,Rooty Hill,$100k - $120k Plus super & HUGE benefits,2023/11/15 15:41,Unknown
DevOps Engineer,Retained,Brisbane QLD,$125 – $150 per hour,2023/11/15 15:41,27d ago
DevOps Engineering Lead,BLACKROC,Brisbane QLD,N/A,2023/11/15 15:41,20d ago
Senior Recruitment Consultant - DevOps,Barton Mills Recruitment,Sydney NSW,"Up to $120,000+ Super + Commission",2023/11/15 15:41,20d ago
DevOps Engineer,Preacta Recruitment,Melbourne VIC,N/A,2023/11/15 15:41,22d ago
Google Cloud Engineer,Fluger,Mornington,N/A,2023/11/15 15:41,13d ago
Lead DevOps Engineer (Linux & Python) - Proprietary Trading,Westbury Partners,Sydney NSW,"$250,000 – $350,000 (or more!)",2023/11/15 15:41,29d ago
Senior CloudOps Engineer (Azure DevOps),NCSI Australia Pty Limited,Sydney NSW,Attractive salary and benefits,2023/11/15 15:41,15d ago
Automation Consultant,The Decipher Bureau,Canberra ACT,Excellent daily rates,2023/11/15 15:41,6d ago
Azure Cloud Engineer,CGI,Brisbane QLD,www.cgi.com/au/en-au/careers/our-benefits,2023/11/15 15:41,2d ago
Cloud Principal Engineer,Orica,Brisbane QLD,N/A,2023/11/15 15:41,7d ago
Senior AWS Cloud Engineer,Veridian Recruitment,Brisbane QLD,$900-1050 p/d,2023/11/15 15:41,16d ago
DevOps Software Engineer,L3 Micreo,Brisbane QLD,N/A,2023/11/15 15:41,22d ago
Google Cloud Engineer,Australian Pharmaceutical Industries Limited,Docklands,N/A,2023/11/15 15:41,7d ago
Cloud Engineer,HCL Australia Services Pty Ltd,Melbourne VIC,N/A,2023/11/15 15:41,9d ago
Senior AWS Devops Engineer- Major Bank,Bluefin Resources Pty Limited,Sydney NSW,$175k - $180k p.a. + super+ bonus,2023/11/15 15:41,22d ago
Senior CloudOps Engineer (Azure DevOps),NCSI Australia Pty Limited,Brisbane QLD,Attractive salary and benefits,2023/11/15 15:41,15d ago
Senior CloudOps Engineer (Azure DevOps),NCSI Australia Pty Limited,Melbourne VIC,Attractive salary and benefits,2023/11/15 15:41,15d ago
Cloud Engineer,Just Digital People,Melbourne VIC,"$120,000 + super",2023/11/15 15:41,19d ago
Senior Cloud Engineer / Solutions Architect,TechConnect IT Solutions Pty Ltd,Hope Island,N/A,2023/11/15 15:41,2h ago
Cloud Solution Engineer/Architect,Compas Pty Ltd,Canberra ACT,N/A,2023/11/15 15:41,1d ago
Technical Lead - Development,Galileo Search,Melbourne VIC,Competitive Package on offer,2023/11/15 15:41,Unknown
Technical Lead - Development,Galileo Search,Sydney NSW,"$130,000 – $160,000 per year + Super + Bonus",2023/11/15 15:41,Unknown
Azure DevOps Consultant,oobe pty ltd,Canberra ACT,N/A,2023/11/15 15:41,20d ago
Cloud Engineer - AWS,AC3 Pty Limited,Melbourne VIC,"$110,000 Base + Super + Bonuses + Allowances",2023/11/15 15:41,20d ago
Senior Cloud Engineer,Profusion PAC Pty Ltd,Melbourne VIC,N/A,2023/11/15 15:41,15d ago
Azure Cloud Engineer,Talenza,Melbourne VIC,$1100 - $1150 p.a.,2023/11/15 15:41,19d ago
Cloud Solution Engineer/Architect,"Hudson - Technology, Projects & Transformation",Canberra ACT,N/A,2023/11/15 15:41,20h ago
Linux Automation Engineer - long term contract,Helix Technology Services,Canberra ACT,excellent rates dependent on exp.,2023/11/15 15:41,7d ago
Cloud Solution Engineer/Architect,Aurec,Canberra ACT,N/A,2023/11/15 15:41,1d ago
Devops Engineer - Mainframes,Talenza,Sydney NSW,$700 - $750 p.d. + Long term contract,2023/11/15 15:41,28d ago
Senior DevOps Engineer,in1bank Ltd,Sydney NSW,N/A,2023/11/15 15:41,21d ago
Senior Platform Engineer | Mobile Apps | Contract,iterate,Melbourne VIC,N/A,2023/11/15 15:41,13d ago
AWS Application Architect,Charterhouse,Sydney NSW,"$1,000 per day + super",2023/11/15 15:41,7d ago
Azure DevOps Engineer,Red Apple IT Pty Ltd,Melbourne VIC,N/A,2023/11/15 15:41,22d ago
Senior Cloud & Platform Engineer,WooliesX,Haymarket,N/A,2023/11/15 15:41,16d ago
Senior AWS Engineer- Major Bank- Work from home,Bluefin Resources Pty Limited,Sydney NSW,$175k - $180k p.a. + super+ bonus,2023/11/15 15:41,22d ago
Senior Cloud Engineer - GCP,The Recruitment Company,Sydney NSW,"Salary package up to $220,000",2023/11/15 15:41,21d ago
Senior AWS DevOps Engineer - Leading FinTech Platform,Hyre.,Sydney NSW,$140-165K+ Super,2023/11/15 15:41,27d ago
Associate Engineer,Versent Pty Ltd,Sydney NSW,N/A,2023/11/15 15:41,13d ago
Lead Cloud Engineer - Cyber Resilience,AustralianSuper,Melbourne VIC,N/A,2023/11/15 15:41,7d ago
Senior Staff Engineer,Commonwealth Bank – Technology,Eveleigh,N/A,2023/11/15 15:41,7h ago
Azure Cloud Engineer,Ambition,Sydney NSW,#NAME?,2023/11/15 15:41,14d ago
Lead Azure Developer,GMHBA,Geelong,N/A,2023/11/15 15:41,Unknown
Senior Engineer / Technical Consultant (Microsoft Infrastructure / 365),Idea 11 Pty Ltd,Sydney NSW,N/A,2023/11/15 15:41,Unknown
Site Reliability Engineer,WEX Australia Pty Ltd,Melbourne VIC,N/A,2023/11/15 15:41,12d ago
DevOps Engineer,Preacta Recruitment,Haymarket,N/A,2023/11/15 15:41,26d ago
DevOps Engineer,Attribute Group,Sydney NSW,N/A,2023/11/15 15:41,29d ago
Platform Reliability Engineer | Media Delivery,ABC,Brisbane QLD,N/A,2023/11/15 15:41,9d ago
Cloud Infrastructure Engineer,Hughes and Jones Consulting Pty Ltd,Canberra ACT,"$130,000 – $170,000 per year",2023/11/15 15:41,20d ago
DevOps Engineer (Brisbane),CR Mining,Goodna,N/A,2023/11/15 15:41,28d ago
Azure Cloud Engineer,Finite IT Recruitment Solutions,Brisbane QLD,N/A,2023/11/15 15:41,12d ago
Senior AWS Infrastructure Engineer,CircuIT Recruitment Group,Melbourne VIC,N/A,2023/11/15 15:41,12d ago
Cloud / Infrastructure Engineer,Sense Recruitment,Perth WA,N/A,2023/11/15 15:41,15d ago
AWS Solution Architect,Ashdown People,Sydney NSW,"$900 - $1,000 p/d + super",2023/11/15 15:41,7d ago
Senior Azure DevSecOps Engineer,Humanised Group,Brisbane QLD,N/A,2023/11/15 15:41,15d ago
Platform Reliability Engineer | Media Delivery,ABC,Melbourne VIC,N/A,2023/11/15 15:41,9d ago
DevOps Engineer (Azure),Northbridge Recruitment,Melbourne VIC,$800-1000 per day,2023/11/15 15:41,29d ago
Platform Reliability Engineer | Media Delivery,ABC,Sydney NSW,N/A,2023/11/15 15:41,9d ago
Site Reliability Engineer,HAMBS,Adelaide SA,N/A,2023/11/15 15:41,18d ago
"Cloud Platform Engineer - AWS, Azure, Infrastructure - FED GOVT",HiTech Personnel,Brisbane QLD,Rewarding daily rate + Hybrid working arrangements,2023/11/15 15:41,22d ago
APS6 Cloud Platform Engineer,Recruitment Hive,Brisbane QLD,$650 - $675 p.d. + All Client Fees Disclosed,2023/11/15 15:41,22d ago
Cloud Engineer,Bank of Queensland,Sydney NSW,N/A,2023/11/15 15:41,20d ago
AWS DevOps Engineer /Senior Engineer,Cognizant Technology Solutions Australia Pty Ltd,Sydney NSW,N/A,2023/11/15 15:41,23d ago
AWS Application Architect,Pinpoint Talent,Sydney NSW,$950 per day + super,2023/11/15 15:41,7d ago
Cloud Engineering Delivery Lead,Latitude Financial Services,Melbourne VIC,#NAME?,2023/11/15 15:41,Unknown
Systems Engineer,Just Better Care Australia Pty Ltd,Sydney NSW,N/A,2023/11/15 15:41,Unknown
